Работает,"Есть в приложении, работает",,,
Удалено,scan_ingredients_not_found,Появилось окно Состав не найден,,НЕ ОТПРАВЛЯЕТСЯ. Показ любого окна отказа считает analysis_failed со свойством reason: для этого окна reason = ingredientsNotFound. Именное событие дублировало его один в один
Внесено разработчиком,scan_photo_ingredients,Пользователь нажал на Сфотографировать состав,,Кнопка в окне «Состав не найден» временно снята разработкой — распознавание панели по фото вело себя непредсказуемо. Событие срабатывает на той же кнопке в окне низкой уверенности. Вернёте кнопку — событие заработает и там
Внесено разработчиком,scan_ingredients_manually,Пользователь ввел состав в ручную,"length
ingredients_count","Сам текст состава в аналитику НЕ уходит — намеренно. Он отправляется на бэкенд и хранится против записи скана, читать его нужно оттуда. В Amplitude идут только длина и число позиций: свободный текст из буфера даёт неограниченную кардинальность (по нему не построить ни сегмент, ни воронку) и тащит вместе с user_id содержимое, которого мы не звали. Числа отвечают на тот же вопрос — вставили полный INCI с этикетки или вбили пару слов руками. ingredients_count считается по запятым, точкам с запятой и переносам строк"
Главный экран,,,,
Внесено разработчиком,home_tap,Пользователь нажал на значок главного экрана,,Считается и когда пользователь уже на этой вкладке — событие описано как нажатие на значок
Внесено разработчиком,premium_tap,Пользователь нажал на кнопку перейти на премиум версию,from,"Объединено с событием upgrade_prompt_tapped, которое жило в приложении до таблицы. Значения from подробнее, чем home/account: home, profile_try_premium, scan_limit, out_of_generations, card_hidden_ingredients, bag_add_from_card, bag_over_limit"
Внесено разработчиком,account_tap,Пользователь нажал на значок аккаунта,,
Внесено разработчиком,add_product,Пользователь нажал Добавить продукт,,Кнопка в пустом состоянии главной
Настройки аккаунта,,,,
Внесено разработчиком,share_tap,Пользователь нажал поделиться в профиле пользователя,,
Внесено разработчиком,feedback_tap,Пользователь нажал Оставить отзыв в профиле пользователя,,
Внесено разработчиком,feedback_send,Пользователь нажал Отправить отзыв,,
Внесено разработчиком,feedback_swipe,Пользователь свернул окно отзыва,,"Лист закрыт без отправки. Тянуть его нельзя — закрывается тапом по затемнению, событие оставлено под именем swipe"
Внесено разработчиком,skin_profile,Пользователь нажал профиль кожи,,
Внесено разработчиком,app_language,Пользователь выбрал язык приложения,language,"Событие в момент выбора языка, а не тапа по строке настройки"
Внесено разработчиком,your_region,Пользователь выбрал регион,region,Событие в момент выбора региона
Внесено разработчиком,create_account,Пользователь нажал кнопку создать аккаунт,from,"Срабатывает после успешного создания аккаунта. from: profile, create_account_page, log_in_page"
Внесено разработчиком,log_in,Пользователь нажал кнопку Войти,,
Удалено,end_session,Пользователь нажал на кнопку завершить сессию,,НЕ ОТПРАВЛЯЕТСЯ. Кнопки в проде нет: её убрали намеренно — у гостя она уничтожала сессию вместе с разборами и оплаченной подпиской. Выход авторизованного пользователя считает account_exit
Внесено разработчиком,create_profile_email_tap,Пользователь тапнул на строку email,,Считается по фокусу поля: в него попадают и кнопкой «дальше» с клавиатуры
Внесено разработчиком,create_profile_password_tap,Пользователь тапнул на строку Пароль,,Считается по фокусу поля
Внесено разработчиком,create_profile_apple_id,Пользователь нажал на кнопку зайти через Apple,,"Срабатывает на тапе, до результата авторизации"
Внесено разработчиком,profile_settings_photo,Пользователь выбрал фото профиля,source,"Значения как в таблице: gallery, camera, icon_name"
Внесено разработчиком,profile_settings_continue,Пользователь нажал на кнопку Далее в настройках профиля,interface_language,
Внесено разработчиком,profile_edit,Пользователь нажал Редактировать профиль,from,
Внесено разработчиком,profile_edit_save,Пользователь нажал на кнопку Сохранить изменения,,
Внесено разработчиком,link_telegram,Пользователь нажал Привязать телеграм,,
Внесено разработчиком,link_telegram_link,Пользователь нажал на кнопку Привязать на экране Привязать Телеграм,,
Внесено разработчиком,link_telegram_swipe,Пользователь свайпнул окно Привязать Телеграм,,Лист закрыт без успешной привязки
Внесено разработчиком,account_exit,Пользователь нажал Выйти из аккаунта,,
Внесено разработчиком,account_delete,Пользователь нажал Удалить аккаунт,,"Тап по кнопке, до подтверждения удаления"
Экран Обзор,,,,
Внесено разработчиком,overview_tap,Пользователь тапнул на значок Обзор,,Вкладка Explore в навбаре
Внесено разработчиком,overview_filter,Пользователь нажал на значок Фильтр в окне Обзор,,
Внесено разработчиком,overview_filter_reset,Пользователь нажал на Сбросить настройки фильтра,,
Внесено разработчиком,overview_filter_swipe,Пользователь свернул настройки фильтра,,Лист закрыт без «Применить» и без «Сбросить»
Внесено разработчиком,overview_filter_add,Пользователь нажал Применить настройки фильтра,"form
goal
active
composition_flags
sort
filters_count","Каждый фасет — отдельное свойство со списком выбранного, как ответы анкеты у onboarding_done: так в Amplitude строится разбивка по одному фасету и сегмент по нему. Фасет без выбора не отправляется. sort — fit, formula, price_asc или price_desc. filters_count — сколько чипов выбрано всего. Раньше было одно свойство filter со строками вида form:serum"
Внесено разработчиком,overview_product_tap,Пользователь нажал на продукт в обзоре,,
Экран продукта,,,,
Внесено разработчиком,product_skin,Пользователь выбрал тип кожи в сведениях о продукте,skin_name,"skin_name = all, когда выбрана строка «для всех типов кожи»"
Внесено разработчиком,product_settings,Пользователь нажал на значок Настройки на экране продукта,,Открытие меню действий
Внесено разработчиком,product_settings_copy,Пользователь нажал Скопировать в Настройках,,Имя во множественном числе — как в таблице
Внесено разработчиком,product_settings_spam,Пользователь нажал Спам в Настройках,,Имя во множественном числе — как в таблице
Внесено разработчиком,product_setting_add_bag,Пользователь нажал Добавить в косметичку в Настройках,,
Внесено разработчиком,product_setting_share,Пользователь нажал Поделиться в Настройках,,
Внесено разработчиком,product_setting_print,Пользователь нажал Напечатать в Настройках,,
Внесено разработчиком,product_setting_close,Пользователь закрыл настройки,,
Косметичка,,,,
Внесено разработчиком,beauty_bag_tap,Пользователь нажал на Косметичка,,
Внесено разработчиком,beauty_bag_product_add,Пользователь добавил продукт,,Срабатывает после выбора продукта в листе добавления
Внесено разработчиком,beauty_bag_product_delete,Пользователь удалил продукт,,
Внесено разработчиком,beauty_bag_check_fit,Пользователь нажал Проверить совместимость,,"Та же кнопка, что и у beauty_bag_view_analysis, но в состоянии «разбора ещё нет»"
Внесено разработчиком,beauty_bag_view_analysis,Пользователь нажал Открыть разбор в косметичке,,"Было view_analysis со свойством from. Разделено на два события по экранам: вход из рутины — routine_view_analysis. Префикс и так называет экран, поэтому from стало лишним"
Внесено разработчиком,beauty_bag_notes,Пользователь нажал Замечания в разборе косметички,,Только на раскрытие. Сворачивание в таблице не описано
Внесено разработчиком,beauty_bag_add_calendar,Пользователь нажал Добавить в календарь,,
Рутина,,,,
Внесено разработчиком,routine_day,Пользователь выбрал день недели,day,"day — число 1..7, понедельник первый"
Внесено разработчиком,routine_push,Пользователь включил/выключил пуш,"state
time",В таблице свойства назывались on/off и Time. Приведены к state (on/off) и time (am/pm): смешанный регистр в Amplitude даёт две разные колонки
Внесено разработчиком,routine_product,Пользователь тапнул по продукту,time,"time: am — утро, pm — вечер"
Внесено разработчиком,routine_product_save,Пользователь нажал Сохранить,day,"day — выбранные дни списком, например 1,3,5"
Внесено разработчиком,routine_product_pause,Пользователь нажал Приостановить продукт,,Только на паузу. Возобновление в таблице не описано
Внесено разработчиком,routine_view_analysis,Пользователь нажал Открыть разбор в рутине,,Было view_analysis со свойством from=routine. Выделено в отдельное событие — см. beauty_bag_view_analysis
Просилка отзывов,,,,
Внесено разработчиком,popup_reviews_show,Появилось окно с просилкой,,Показывается с карточки продукта после разбора
Внесено разработчиком,popup_reviews_yes,Пользователь нажал Да,,
Внесено разработчиком,popup_reviews_no,Пользователь нажал Нет,,
Внесено разработчиком,popup_reviews_tap_comment,Пользователь тапнул на строку Напишите ваш комментарий,,Считается по фокусу поля
Внесено разработчиком,popup_reviews_tap_email,Пользователь тапнул на строку email,,Считается по фокусу поля
Внесено разработчиком,popup_reviews_tap_send,Пользователь нажал кнопку Отправить,,
Вне таблицы маркетинга,,,,
Внесено разработчиком,purchase_restore,Пользователь нажал Восстановить покупки на пейволле,result,"ДОБАВЛЕНО СВЕРХ ТАБЛИЦЫ. Кнопка на пейволле есть, события на неё не было. result: restored — доступ вернулся и записан в нашу базу; nothing_to_restore — активной подписки не нашлось; error — цепочка оборвалась. Голый тап не отличил бы «нечего восстанавливать» от «заплатил, а доступ не вернулся», а второе даёт тикеты в поддержку и единицы в App Store"
Внесено разработчиком,anon_session_started,Создана гостевая сессия,,
Внесено разработчиком,anon_converted,Гость стал пользователем с аккаунтом,,
Внесено разработчиком,analysis_started,Начало разбора продукта,source,source: camera или gallery
Внесено разработчиком,analysis_completed,Разбор дошёл до карточки,"image_id
score
product_type","score отсутствует, пока продукт не оценён"
Внесено разработчиком,analysis_failed,Разбор не удался,reason,Вся таксономия отказов одним событием
Внесено разработчиком,card_opened,Открытие карточки продукта,"image_id
source",
Внесено разработчиком,share_link_tapped,Поделиться ссылкой на продукт,image_id,
Внесено разработчиком,share_card_created,Сгенерирована картинка для сторис,"image_id
format",
Внесено разработчиком,board_created,Создана подборка,,
Внесено разработчиком,product_added_to_board,Продукт добавлен в подборку,image_id,
Внесено разработчиком,favourite_added,Добавлено в избранное,image_id,
Внесено разработчиком,favourite_removed,Убрано из избранного,image_id,
Внесено разработчиком,upgrade_prompt_shown,Показ промо подписки,trigger,"Знаменатель для premium_tap: сколько раз промо увидели против того, сколько раз нажали"
Внесено разработчиком,paywall_offerings_loaded,Пейволл догрузил тарифы,"ready
configured","ready = false означает, что карточки тарифов не отрисовались и пейволл стал тупиком"
Внесено разработчиком,purchase_started,Начало покупки,package,
Внесено разработчиком,purchase_completed,Подписка оформлена,package,
Внесено разработчиком,purchase_failed,Покупка не прошла или отменена,"package
code
cancelled",
Работает с ошибкой,ingredients_tab_opened,Открыта вкладка состава,image_id,"Объявлено в коде, но ни разу не вызывается — так было и до этой задачи. Скажите, нужно ли это событие: либо повешу на вкладку, либо удалю"
"Свойства пользователя — это НЕ события, по ним фильтруют",,,,
Внесено разработчиком,install_source,Откуда установлено приложение,"app_store
testflight_or_xcode
simulator
unknown","Ставится один раз при запуске и приклеивается ко ВСЕМ последующим событиям. TestFlight шлёт события в тот же продовый проект, что и живые пользователи, а покупки там песочные — без этого свойства конверсия в оплату завышена на неизвестную величину. Один сегмент «только App Store» чистит сразу все графики. Сборку из Xcode на устройство от TestFlight отличить нельзя: чек у обеих песочный, поэтому значение так и называется"
Внесено разработчиком,app_env,На каком окружении собрано приложение,"Production
Development
Local","Ставится один раз при запуске. Страховка от залипшего дев-дефайна в Generated.xcconfig — той аварии, из-за которой дев уехал в стор в билде 108. Со свойством это видно в первый же день, а не через месяц по кривым цифрам"
Внесено разработчиком,supabase_uid,Текущая строка пользователя в базе,uuid,"Ставится из auth-стрима при каждой смене сессии, в том числе анониму: у него нет user_id, и найти его в базе иначе нельзя. user_id в Amplitude — Supabase uuid только у аккаунта; device_id — UUID устройства из Keychain, переживает переустановку"
Автоматические события Amplitude — наш код их не шлёт,,,,
Внесено разработчиком,[Amplitude] Screen Viewed,Открытие любого экрана приложения,[Amplitude] Screen Name,Снимается автоматически при каждом переходе. Отдельные события на открытие экранов заводить не нужно
Внесено разработчиком,[Amplitude] Session Start,Начало сессии,,
Внесено разработчиком,[Amplitude] Session End,Конец сессии,,
Внесено разработчиком,[Amplitude] Application Installed,Первая установка,,
Внесено разработчиком,[Amplitude] Application Updated,Обновление версии,,
Внесено разработчиком,[Amplitude] Application Started,Запуск приложения,,
Внесено разработчиком,[Amplitude] Deep Link Opened,Открытие по диплинку,,
